Protein	Label	Label2	log2FC	log2FC_SE	score	SignedScore	FDR	log_oddsDE	log2FC_1	log2FC_2	log2FC_3	nUp	nDown
A0JNW5	0/1	-60mins/0mins	-1.28743	0.56649	0.00970693	-0.00970693	0.930055	-4.62516	-1.0969	-1.74771	-1.0177	0	3
A2RUS2	0/1	-60mins/0mins	0.49475	0.682727	0.000571251	0.000571251	0.989029	-7.46711	0.990393	0.0259952	0.467863	3	0
A5YKK6	0/1	-60mins/0mins	1.07851	3.65935	0.000610445	0.000610445	0.988138	-7.40071	4.06178	-0.26984	-0.556393	1	2
A6ND36	0/1	-60mins/0mins	-0.507438	0.399161	0.000598169	-0.000598169	0.988451	-7.42104	-0.30275	-0.829423	-0.390142	0	3
A7KAX9	0/1	-60mins/0mins	0.0394499	1.18248	0.000261532	0.000261532	0.995606	-8.24869	-0.440469	-0.446114	1.00493	1	2
A7MCY6	0/1	-60mins/0mins	-0.186793	0.872209	0.000291486	-0.000291486	0.994419	-8.14023	0.463947	-0.762717	-0.261611	1	2
B2RTY4	0/1	-60mins/0mins	1.34836	4.19217	0.000724806	0.000724806	0.98649	-7.22888	4.76951	-0.456897	-0.267532	1	2
O00257	0/1	-60mins/0mins	1.44042	1.04517	0.00607337	0.00607337	0.946611	-5.09775	1.39388	2.20163	0.725744	3	0
O00305	0/1	-60mins/0mins	0.0249402	0.224613	0.000261272	0.000261272	0.995639	-8.24969	0.187106	-0.130319	0.0180339	2	1
O00443	0/1	-60mins/0mins	-0.358257	0.899107	0.00037447	-0.00037447	0.992538	-7.88962	0.301273	-0.408806	-0.967239	1	2
O00459	0/1	-60mins/0mins	-0.172609	1.05523	0.000282789	-0.000282789	0.994694	-8.17053	0.688905	-0.613225	-0.593506	1	2
O00571	0/1	-60mins/0mins	0.0434807	0.963665	0.000262148	0.000262148	0.995535	-8.24634	0.298149	-0.728588	0.560882	2	1
O00750	0/1	-60mins/0mins	0.107581	0.303367	0.000272861	0.000272861	0.994991	-8.20627	0.337895	0.0713689	-0.0865211	2	1
O14559	0/1	-60mins/0mins	0.287142	0.602523	0.000344857	0.000344857	0.993118	-7.97203	0.776958	0.0819534	0.0025156	3	0
O14639	0/1	-60mins/0mins	-0.406913	0.496159	0.000471162	-0.000471162	0.990727	-7.65984	-0.00467676	-0.566296	-0.649765	0	3
O14654	0/1	-60mins/0mins	-0.024561	0.610001	0.000261239	-0.000261239	0.995644	-8.24981	0.462813	-0.179363	-0.357133	1	2
O14757	0/1	-60mins/0mins	-0.721547	1.40878	0.000900266	-0.000900266	0.9838	-7.01192	0.0747446	-0.400824	-1.83856	1	2
O14802	0/1	-60mins/0mins	-1.51065	4.40539	0.000590773	-0.000590773	0.988587	-7.43349	1.29479	-4.86295	-0.963798	1	2
O14924	0/1	-60mins/0mins	-0.445298	0.808051	0.00048378	-0.00048378	0.990476	-7.6334	0.211337	-0.717975	-0.829255	1	2
O14974	0/1	-60mins/0mins	1.11157	3.17294	0.000577143	0.000577143	0.988877	-7.45684	2.56102	-1.47275	2.24644	2	1
O15021	0/1	-60mins/0mins	-0.891644	1.36492	0.00135876	-0.00135876	0.977822	-6.59982	-0.690145	-1.94163	-0.0431546	0	3
O15027	0/1	-60mins/0mins	-0.373292	1.85166	0.000339282	-0.000339282	0.993261	-7.98834	1.10301	-0.82908	-1.3938	1	2
O15049	0/1	-60mins/0mins	-0.287676	0.686274	0.000334841	-0.000334841	0.993357	-8.00152	0.154631	-0.806755	-0.210903	1	2
O15056	0/1	-60mins/0mins	-0.189909	3.22413	0.000269405	-0.000269405	0.99512	-8.21902	2.24894	-2.26754	-0.551123	1	2
O15063	0/1	-60mins/0mins	0.120442	0.492843	0.000272592	0.000272592	0.995	-8.20726	0.506131	0.0269967	-0.171803	2	1
O15075	0/1	-60mins/0mins	-0.352272	0.997281	0.000384147	-0.000384147	0.992357	-7.8641	0.243271	-1.13096	-0.169127	1	2
O15160	0/1	-60mins/0mins	-2.27945	5.24112	0.00164454	-0.00164454	0.975236	-6.40865	-6.14873	-1.9279	1.23828	1	2
O15260	0/1	-60mins/0mins	-0.234976	0.646123	0.000306648	-0.000306648	0.994019	-8.0895	-0.451741	-0.543124	0.289936	1	2
O15294	0/1	-60mins/0mins	-0.0655465	1.38529	0.000263521	-0.000263521	0.995417	-8.24111	0.633082	0.355498	-1.18522	2	1
O15460	0/1	-60mins/0mins	1.26399	1.03113	0.00308532	0.00308532	0.962838	-5.77801	1.97841	1.29255	0.52101	3	0
O43155	0/1	-60mins/0mins	0.0101411	0.122875	0.000260766	0.000260766	0.995742	-8.25163	0.110435	-0.0377742	-0.0422372	1	2
O43166	0/1	-60mins/0mins	-0.044712	2.64069	0.000261268	-0.000261268	0.995642	-8.2497	2.1113	-1.10483	-1.14061	1	2
O43303	0/1	-60mins/0mins	-0.0445817	0.175458	0.000261743	-0.000261743	0.995577	-8.24789	0.0354337	0.018323	-0.187502	2	1
O43314	0/1	-60mins/0mins	0.977944	1.00907	0.00291744	0.00291744	0.963973	-5.83413	1.64554	1.06228	0.226004	3	0
O43379	0/1	-60mins/0mins	0.945447	1.3324	0.00178243	0.00178243	0.974115	-6.328	2.03106	0.341598	0.463682	3	0
O43491	0/1	-60mins/0mins	-0.205692	0.983732	0.000298654	-0.000298654	0.994194	-8.11593	-0.316785	0.538773	-0.839064	1	2
O43524	0/1	-60mins/0mins	1.64761	0.195633	0.0424777	0.0424777	0.851815	-3.11537	1.80451	1.59509	1.54323	3	0
O43822	0/1	-60mins/0mins	-0.245414	0.636762	0.0003209	-0.0003209	0.993699	-8.04406	-0.763623	-0.0227388	0.0501201	1	2
O43896	0/1	-60mins/0mins	0.761502	1.33264	0.0010545	0.0010545	0.981609	-6.85364	0.150191	1.8467	0.287612	3	0
O60282	0/1	-60mins/0mins	0.40727	0.206823	0.000483754	0.000483754	0.990482	-7.63345	0.575685	0.333802	0.312324	3	0
O60292	0/1	-60mins/0mins	0.393387	1.56592	0.000373859	0.000373859	0.992566	-7.89126	1.37101	-0.809039	0.618188	2	1
O60307	0/1	-60mins/0mins	-0.639397	0.615887	0.000780342	-0.000780342	0.98567	-7.155	-0.190545	-1.06018	-0.667463	0	3
O60333	0/1	-60mins/0mins	-0.412122	2.42035	0.000321168	-0.000321168	0.993696	-8.04322	0.230413	-2.35185	0.885071	2	1
O60336	0/1	-60mins/0mins	0.153052	0.620079	0.000276869	0.000276869	0.994863	-8.19169	0.480397	0.323869	-0.345109	2	1
O60343	0/1	-60mins/0mins	2.54595	2.81156	0.0367606	0.0367606	0.862849	-3.26588	4.84079	1.45057	1.34649	3	0
O60346	0/1	-60mins/0mins	-0.333331	0.83113	0.000377386	-0.000377386	0.992477	-7.88186	0.0410705	-0.0303736	-1.01069	1	2
O60573	0/1	-60mins/0mins	-0.566011	0.226236	0.000705358	-0.000705358	0.986859	-7.2561	-0.455658	-0.4929	-0.749476	0	3
O60825	0/1	-60mins/0mins	2.05029	0.934025	0.152744	0.152744	0.637309	-1.71324	2.711	2.04979	1.39009	3	0
O60828	0/1	-60mins/0mins	0.222216	1.98938	0.000286089	0.000286089	0.994574	-8.15892	0.429508	1.51377	-1.27663	2	1
O60884	0/1	-60mins/0mins	0.0364526	0.841992	0.000261748	0.000261748	0.995576	-8.24787	0.664653	-0.519513	-0.0357828	1	2
O60885	0/1	-60mins/0mins	0.113913	0.575501	0.000273243	0.000273243	0.994979	-8.20488	0.524236	0.107062	-0.289559	2	1
O75037	0/1	-60mins/0mins	-0.471384	0.591414	0.00055578	-0.00055578	0.989339	-7.49458	-0.582332	-0.822915	-0.00890555	0	3
O75044	0/1	-60mins/0mins	-0.376428	0.719353	0.000405785	-0.000405785	0.991919	-7.80928	0.210298	-0.646379	-0.693204	1	2
O75064	0/1	-60mins/0mins	0.129158	0.415361	0.000277627	0.000277627	0.994829	-8.18896	-0.209614	0.284839	0.312248	2	1
O75122	0/1	-60mins/0mins	0.678185	0.764322	0.000937921	0.000937921	0.983251	-6.97091	0.0751163	1.11873	0.840705	3	0
O75140	0/1	-60mins/0mins	2.02887	2.94063	0.00490063	0.00490063	0.952663	-5.31348	0.388228	4.36737	1.331	3	0
O75143	0/1	-60mins/0mins	-0.143455	2.51863	0.000267865	-0.000267865	0.995192	-8.22476	1.85875	-1.5509	-0.73822	1	2
O75147	0/1	-60mins/0mins	-0.770758	1.0739	0.00124414	-0.00124414	0.979412	-6.68806	-0.0463929	-0.705039	-1.56084	0	3
O75167	0/1	-60mins/0mins	1.15536	1.05549	0.00230021	0.00230021	0.968882	-6.07245	1.13274	0.420576	1.91275	3	0
O75175	0/1	-60mins/0mins	-0.114587	1.65332	0.000267915	-0.000267915	0.995189	-8.22457	1.20945	-0.548742	-1.00447	1	2
O75385	0/1	-60mins/0mins	-0.292928	1.71981	0.000316361	-0.000316361	0.993783	-8.05831	1.04118	-0.580532	-1.33943	1	2
O75390	0/1	-60mins/0mins	0.640407	2.95152	0.000343705	0.000343705	0.993165	-7.97538	0.0838351	-1.11192	2.94931	2	1
O75420	0/1	-60mins/0mins	0.326723	2.84037	0.000298361	0.000298361	0.994196	-8.11691	2.64572	-0.809496	-0.856051	1	2
O75494	0/1	-60mins/0mins	-0.439137	0.378469	0.000478464	-0.000478464	0.99058	-7.64445	-0.743889	-0.242443	-0.331078	0	3
