Comparison	-60mins/0mins	-60mins/0mins	-60mins/0mins	-60mins/0mins	1mins/0mins	1mins/0mins	1mins/0mins	1mins/0mins	10mins/0mins	10mins/0mins	10mins/0mins	10mins/0mins	30mins/0mins	30mins/0mins	30mins/0mins	30mins/0mins	100mins/0mins	100mins/0mins	100mins/0mins	100mins/0mins
Protein	log2FC	score	FDR	log_oddsDE	log2FC	score	FDR	log_oddsDE	log2FC	score	FDR	log_oddsDE	log2FC	score	FDR	log_oddsDE	log2FC	score	FDR	log_oddsDE
A0JNW5	-1.28743	0.00970693	0.930055	-4.62516	-1.36703	0.00950336	0.931553	-4.64656	-1.37521	0.0176657	0.897298	-4.01831	-1.20938	0.00463726	0.954491	-5.36898	-2.03509	0.0618213	0.809933	-2.71969
A2RUS2	0.49475	0.000571251	0.989029	-7.46711	-0.286264	0.000344015	0.993155	-7.97448	1.19389	0.00592206	0.94748	-5.12313	0.735404	0.000819515	0.985065	-7.10598	0.0510971	0.000263022	0.995457	-8.24301
A5YKK6	1.07851	0.000610445	0.988138	-7.40071	0.0876781	0.000262037	0.995545	-8.24676	1.75097	0.00236702	0.968583	-6.04375	0.881964	0.00049055	0.990368	-7.61949	0.970177	0.000551075	0.989446	-7.50309
A6ND36	-0.507438	0.000598169	0.988451	-7.42104	-0.902356	0.00298282	0.963568	-5.8119	-0.269922	0.000344416	0.993128	-7.97331	0.0365878	0.000261787	0.995571	-8.24772	-0.309473	0.000340787	0.993228	-7.98391
A7KAX9	0.0394499	0.000261532	0.995606	-8.24869	0.365627	0.000345751	0.993098	-7.96944	0.15415	0.000274311	0.994945	-8.20097	-0.742918	0.000422683	0.991604	-7.76846	-1.04543	0.000895558	0.983936	-7.01717
A7MCY6	-0.186793	0.000291486	0.994419	-8.14023	-0.478932	0.000535702	0.989638	-7.5314	-0.189241	0.000293918	0.994336	-8.13192	0.460165	0.000433647	0.991411	-7.74285	0.225147	0.000298134	0.994199	-8.11767
B2RTY4	1.34836	0.000724806	0.98649	-7.22888	1.04935	0.000526986	0.989747	-7.54781	0.586324	0.000326175	0.993568	-8.02775	1.02983	0.000472408	0.990714	-7.65719	-0.352013	0.000276925	0.994861	-8.19149
O00257	1.44042	0.00607337	0.946611	-5.09775	0.777415	0.000830206	0.984862	-7.09301	1.20637	0.00300101	0.963259	-5.8058	0.883694	0.00086584	0.984386	-7.05094	1.06229	0.00163072	0.975421	-6.4171
O00305	0.0249402	0.000261272	0.995639	-8.24969	-0.0827432	0.000267462	0.995202	-8.22627	-0.177139	0.000295376	0.9943	-8.12697	-0.683788	0.000530468	0.98967	-7.54122	-0.3898	0.000375512	0.992518	-7.88684
