Protein	MIN_OBS_1	MIN_OBS_2	MIN_OBS_3	MIN_OBS_4	MIN_OBS_5	MIN_OBS_6
A0JNW5	n	n	n	n	n	n
A2RUS2	n	n	n	n	n	n
A5YKK6	n	n	n	n	n	n
A6ND36	n	n	n	n	n	n
A7KAX9	n	n	n	n	n	n
A7MCY6	n	n	n	n	n	n
B2RTY4	n	n	n	n	n	n
O00257	n	n	n	n	n	n
O00305	n	n	n	n	n	n
O00443	n	n	n	n	n	n
O00459	n	n	n	n	n	n
O00571	n	n	n	n	n	n
O00750	n	n	n	n	n	n
O14559	n	n	n	n	n	n
O14639	n	n	n	n	n	n
O14654	n	n	n	n	n	n
O14757	n	n	n	n	n	n
O14802	n	n	n	n	n	n
O14924	n	n	n	n	n	n
O14974	n	n	n	n	n	n
O15021	n	n	n	n	n	n
O15027	n	n	n	n	n	n
O15049	n	n	n	n	n	n
O15056	n	n	n	n	n	n
O15063	n	n	n	n	n	n
O15075	n	n	n	n	n	n
O15160	n	n	n	n	n	n
O15260	n	n	n	n	n	n
O15294	n	n	n	n	n	n
O15460	n	n	n	n	n	n
O43155	n	n	n	n	n	n
O43166	n	n	n	n	n	n
O43303	n	n	n	n	n	n
O43314	n	n	n	n	n	n
O43379	n	n	n	n	n	n
O43491	n	n	n	n	n	n
O43524	n	n	n	n	n	n
O43822	n	n	n	n	n	n
O43896	n	n	n	n	n	n
O60282	n	n	n	n	n	n
O60292	n	n	n	n	n	n
O60307	n	n	n	n	n	n
O60333	n	n	n	n	n	n
O60336	n	n	n	n	n	n
O60343	n	n	n	n	n	n
O60346	n	n	n	n	n	n
O60573	n	n	n	n	n	n
O60825	n	n	n	n	n	n
O60828	n	n	n	n	n	n
O60884	n	n	n	n	n	n
O60885	n	n	n	n	n	n
O75037	n	n	n	n	n	n
O75044	n	n	n	n	n	n
O75064	n	n	n	n	n	n
O75122	n	n	n	n	n	n
O75140	n	n	n	n	n	n
O75143	n	n	n	n	n	n
O75147	n	n	n	n	n	n
O75167	n	n	n	n	n	n
O75175	n	n	n	n	n	n
O75385	n	n	n	n	n	n
O75390	n	n	n	n	n	n
O75420	n	n	n	n	n	n
O75494	n	n	n	n	n	n
O75592	n	n	n	n	n	n
O75909	n	n	n	n	n	n
O94827	n	n	n	n	n	n
O94854	n	n	n	n	n	n
O94875	n	n	n	n	n	n
O94885	n	n	n	n	n	n
O94906	n	n	n	n	n	n
O94915	n	n	n	n	n	n
O94921	n	n	n	n	n	n
O94964	n	n	n	n	n	n
O94988	n	n	n	n	n	n
O95071	n	n	n	n	n	n
O95208	n	n	n	n	n	n
O95248	n	n	n	n	n	n
O95292	n	n	n	n	n	n
O95382	n	n	n	n	n	n
O95425	n	n	n	n	n	n
O95490	n	n	n	n	n	n
O95544	n	n	n	n	n	n
O95602	n	n	n	n	n	n
O95685	n	n	n	n	n	n
O95714	n	n	n	n	n	n
O95835	n	n	n	n	n	n
O95886	n	n	n	n	n	n
O96013	n	n	n	n	n	n
P00387	n	n	n	n	n	n
P00519	n	n	n	n	n	n
P04049	n	n	n	n	n	n
P04181	n	n	n	n	n	n
P05783	n	n	n	n	n	n
P05787	n	n	n	n	n	n
P07237	n	n	n	n	n	n
P08069	n	n	n	n	n	n
P08727	n	n	n	n	n	n
P0C2W1	n	n	n	n	n	n
P0C7T5	n	n	n	n	n	n
P10398	n	n	n	n	n	n
P10644	n	n	n	n	n	n
P11171	n	n	n	n	n	n
P11274	n	n	n	n	n	n
P11940	n	n	n	n	n	n
P15056	n	n	n	n	n	n
P15822	n	n	n	n	n	n
P17612	n	n	n	n	n	n
P19532	n	n	n	n	n	n
P21359	n	n	n	n	n	n
P22681	n	n	n	n	n	n
P23508	n	n	n	n	n	n
P23588	n	n	n	n	n	n
P25054	n	n	n	n	n	n
P26045	n	n	n	n	n	n
P27348	n	n	n	n	n	n
P27448	n	n	n	n	n	n
P27986	n	n	n	n	n	n
P28290	n	n	n	n	n	n
P30291	n	n	n	n	n	n
P30305	n	n	n	n	n	n
P30307	n	n	n	n	n	n
P31629	n	n	n	n	n	n
P31946	n	n	n	n	n	n
P33176	n	n	n	n	n	n
P35568	n	n	n	n	n	n
P35637	n	n	n	n	n	n
P35658	n	n	n	n	n	n
P36507	n	n	n	n	n	n
P40818	n	n	n	n	n	n
P41743	n	n	n	n	n	n
P42166	n	n	n	n	n	n
P42345	n	n	n	n	n	n
P42356	n	n	n	n	n	n
P42677	n	n	n	n	n	n
P42684	n	n	n	n	n	n
P46937	n	n	n	n	n	n
P46977	n	n	n	n	n	n
P47974	n	n	n	n	n	n
P48634	n	n	n	n	n	n
P48729	n	n	n	n	n	n
P48730	n	n	n	n	n	n
P49674	n	n	n	n	n	n
P49757	n	n	n	n	n	n
P49761	n	n	n	n	n	n
P49815	n	n	n	n	n	n
P50548	n	n	n	n	n	n
P51532	n	n	n	n	n	n
P52429	n	n	n	n	n	n
P52701	n	n	n	n	n	n
P53350	n	n	n	n	n	n
P54253	n	n	n	n	n	n
P55196	n	n	n	n	n	n
P55265	n	n	n	n	n	n
P56524	n	n	n	n	n	n
P56945	n	n	n	n	n	n
P61962	n	n	n	n	n	n
P61981	n	n	n	n	n	n
P62158	n	n	n	n	n	n
P62258	n	n	n	n	n	n
P62829	n	n	n	n	n	n
P63104	n	n	n	n	n	n
P63208	n	n	n	n	n	n
P67870	n	n	n	n	n	n
P78344	n	n	n	n	n	n
P78406	n	n	n	n	n	n
P78524	n	n	n	n	n	n
P81408	n	n	n	n	n	n
P85037	n	n	n	n	n	n
P85299	n	n	n	n	n	n
P98177	n	n	n	n	n	n
P98179	n	n	n	n	n	n
Q00536	n	n	n	n	n	n
Q00537	n	n	n	n	n	n
Q00587	n	n	n	n	n	n
Q01433	n	n	n	n	n	n
Q01813	n	n	n	n	n	n
Q01850	n	n	n	n	n	n
Q02241	n	n	n	n	n	n
Q02750	n	n	n	n	n	n
Q02833	n	n	n	n	n	n
Q04721	n	n	n	n	n	n
Q04917	n	n	n	n	n	n
Q07002	n	n	n	n	n	n
Q07157	n	n	n	n	n	n
Q07352	n	n	n	n	n	n
Q07866	n	n	n	n	n	n
Q08495	n	n	n	n	n	n
Q08AD1	n	n	n	n	n	n
Q08AE8	n	n	n	n	n	n
Q09019	n	n	n	n	n	n
Q0VF96	n	n	n	n	n	n
Q12774	n	n	n	n	n	n
Q12778	n	n	n	n	n	n
Q12802	n	n	n	n	n	n
Q12809	n	n	n	n	n	n
Q12840	n	n	n	n	n	n
Q12923	n	n	n	n	n	n
Q12959	n	n	n	n	n	n
Q12980	n	n	n	n	n	n
Q13009	n	n	n	n	n	n
Q13049	n	n	n	n	n	n
Q13111	n	n	n	n	n	n
Q13112	n	n	n	n	n	n
Q13136	n	n	n	n	n	n
Q13322	n	n	n	n	n	n
Q13370	n	n	n	n	n	n
Q13432	n	n	n	n	n	n
Q13496	n	n	n	n	n	n
Q13555	n	n	n	n	n	n
Q13613	n	n	n	n	n	n
Q13617	n	n	n	n	n	n
Q13625	n	n	n	n	n	n
Q13627	n	n	n	n	n	n
Q13724	n	n	n	n	n	n
Q13946	n	n	n	n	n	n
Q14008	n	n	n	n	n	n
Q14103	n	n	n	n	n	n
Q14146	n	n	n	n	n	n
Q14153	n	n	n	n	n	n
Q14155	n	n	n	n	n	n
Q14157	n	n	n	n	n	n
Q14161	n	n	n	n	n	n
Q14244	n	n	n	n	n	n
Q14257	n	n	n	n	n	n
Q14444	n	n	n	n	n	n
Q14571	n	n	n	n	n	n
Q14573	n	n	n	n	n	n
Q14643	n	n	n	n	n	n
Q14677	n	n	n	n	n	n
Q14678	n	n	n	n	n	n
Q14680	n	n	n	n	n	n
Q14693	n	n	n	n	n	n
Q14739	n	n	n	n	n	n
Q14966	n	n	n	n	n	n
Q14978	n	n	n	n	n	n
Q14980	n	n	n	n	n	n
Q14C86	n	n	n	n	n	n
Q14CB8	n	n	n	n	n	n
Q15007	n	n	n	n	n	n
Q15032	n	n	n	n	n	n
Q15043	n	n	n	n	n	n
Q15052	n	n	n	n	n	n
Q15058	n	n	n	n	n	n
Q15154	n	n	n	n	n	n
Q15276	n	n	n	n	n	n
Q15287	n	n	n	n	n	n
Q15370	n	n	n	n	n	n
Q15643	n	n	n	n	n	n
Q15678	n	n	n	n	n	n
Q15751	n	n	n	n	n	n
Q15772	n	n	n	n	n	n
Q15843	n	n	n	n	n	n
Q16204	n	n	n	n	n	n
Q16543	n	n	n	n	n	n
Q16825	n	n	n	n	n	n
Q16875	n	n	n	n	n	n
Q2KHR2	n	n	n	n	n	n
Q2M1P5	n	n	n	n	n	n
Q2M3G4	n	n	n	n	n	n
Q2PPJ7	n	n	n	n	n	n
Q2V2M9	n	n	n	n	n	n
Q32P44	n	n	n	n	n	n
