Protein	T1.A.	T1.B.	T1.C.	T2.A.	T2.B.	T2.C.	T3.A.	T3.B.	T3.C.	T4.A.	T4.B.	T4.C.	T5.A.	T5.B.	T5.C.	T6.A.	T6.B.	T6.C.
A0JNW5	9.0954	8.82972	8.66178	10.1923	10.5774	9.67948	9.15987	8.15482	9.03342	8.58871	8.93074	8.80413	8.50779	8.90388	9.40939	7.41785	8.19476	8.73132
A2RUS2	9.81057	8.61471	10.0954	8.82018	8.58871	9.62753	8.37938	8.65105	9.1472	10.2621	10.1344	10.2216	9.22159	10.0084	10.0126	8.94251	8.37069	9.87652
A5YKK6	8.3837	7.13955	7.40939	4.32193	7.40939	7.96578	7.40939	4.90689	7.64386	8.33539	8.03342	8.5812	7.12928	7.24793	7.96578	7.49985	6.78136	8.32643
A6ND36	15.561	14.7594	14.8755	15.8638	15.5888	15.2657	14.7956	14.4029	14.8127	15.5399	14.9782	15.3904	15.7731	15.3742	15.6808	15.0998	15.015	15.675
A7KAX9	9.51373	9.86109	9.19476	9.9542	10.3072	8.18982	10.2095	9.73132	9.60733	9.9571	9.44087	9.5157	7.42626	8.66178	10.1344	7.49985	9.66534	8.14975
A7MCY6	10.0224	9.30606	9.72281	9.55842	10.0688	9.98442	9.74147	9.13186	9.3015	9.96434	9.20457	9.87498	10.0056	10.4512	10.5353	10.6883	9.75489	9.84392
B2RTY4	10.0914	9.01681	8.73809	5.32193	9.47371	9.00562	9.07146	8.70044	9.17742	8.81057	8.59991	8.14975	7.85798	9.45533	9.57743	8.7039	8.13443	5.90689
O00257	9.85331	9.52356	9.41574	8.45943	7.32193	8.69	8.9542	9.26444	8.58496	9.58684	9.3015	9.20212	9.1267	9.79116	8.20457	9.70044	9.1472	8.81057
O00305	10.0728	10.1712	9.91588	9.8857	10.3015	9.89785	10.2503	9.76155	9.82496	9.98442	9.77479	9.79442	8.10329	9.73809	10.1923	8.93369	9.93074	10.0512
O00443	10.5421	9.85798	9.17742	10.2408	10.2668	10.1447	10.567	9.41151	9.9629	10.1948	10.3343	10.3805	10.0042	10.098	10.236	10.3476	10.2935	10.1824
