ProteinName	T1.A.	T1.B.	T1.C.	T2.A.	T2.B.	T2.C.	T3.A.	T3.B.	T3.C.	T4.A.	T4.B.	T4.C.	T5.A.	T5.B.	T5.C.	T6.A.	T6.B.	T6.C.	T7.A.	T7.B.	T7.C.	T8.A.	T8.B.	T8.C.	T9.A.	T9.B.	T9.C.
A0JNW5	547	455	405	1170	1528	820	572	285	524	385	488	447	364	479	680	171	293	425	30	50	NA	NA	100	70	40	20	10
A2RUS2	898	392	1094	452	385	791	333	402	567	1228	1124	1194	597	1030	1033	492	331	940	365	40	151	90	426	462	91	30	130
A5YKK6	334	141	170	20	170	250	170	30	200	323	262	383	140	152	250	181	110	321	30	NA	20	NA	40	NA	10	30	NA
A6ND36	48344	27734.5	30059	59632	49283.5	39393	28439.5	21662.5	28778	47639	32277.5	42951	55997	42470	52528.5	35114.5	33111	52319	534	70.5	40	418	266.5	125	65.5	316	1041.5
A7KAX9	731	930	586	992	1267	292	1184	850	780	994	695	732	172	405	1124	181	812	284	70	100	180	232	110	110	200	181	40
A7MCY6	1040	633	845	754	1074	1013	856	561	631	999	590	939	1028	1400	1484	1650	864	919	NA	40	10	NA	650	30	181	30	NA
B2RTY4	1091	518	427	40	711	514	538	416	579	449	388	284	232	702	764	417	281	60	353	341	140	263	3307	205	100	343	320
O00257	925	736	683	352	160	413	496	615	384	769	631	589	559	886	295	832	567	449	300	80	220	400	30	250	80	220	120
O00305	1077	1153	966	946	1262	954	1218	868	907	1013	876	888	275	854	1170	489	976	1061	293	40	130	30	282	70	141	110	NA
O00443	1491	928	579	1210	1232	1132	1517	681	998	1172	1291	1333	1027	1096	1206	1303	1255	1162	60	140	110	90	70	150	130	90	40
O00459	1417	893	898	879	1366	1355	1197	903	1428	1718	1068	1676	1967	1430	1598	1674	962	262	212	110	120	121	60	80	403	210	120
O00571	4753.5	2038	5302.5	3866	3377	3594.5	3516	3482	3136.5	4427	2693.5	5753	4086.5	5731	5345.5	1583	4983	4716.5	799	564.5	1152.5	1039.5	732	1851.5	504.5	1239.5	681.5
O00750	795	663	631	629	631	670	682	530	305	613	642	527	511	336	519	101	405	770	100	537	352	60	70	558	100	90	70
O14559	1902	1584.5	1148	1110	1497	1146	2503	1284	402	1407.5	1301.5	1216.5	3173	4895.5	4010.5	1545.5	982.5	3605.5	308	1050.5	140	440.5	210.5	50.5	70.5	186	15
O14639	60980.5	44237	37333.5	61178.5	65502.5	58573	60080.5	37479.5	45262	47195.5	39384	45727	52961.5	54403	50979	58922	51776	39136	1187.5	569.5	2789	4522.5	852	2049	617	762	2941.5
O14654	39828	24225	19407	28898	27432	24858	39511	21723	24638	38271	29859	29270	34529	32322	28292	38806	22915	27805	1784	871	783	802	1177	953	1320	1003	792
O14757	1327	765	588	1260	1010	2103	1344	724	1183	1201	804	1141	731	552	856	957	396	645	110	20	50	30	20	20	NA	140	30
O14802	395	10	343	161	291	669	183	332	336	412	210	619	151	373	282	222	140	284	20	40	20	30	190	51	10	20	10
O14924	1365	780	990	1179	1283	1759	1172	953	1311	1618	1385	1781	1046	1508	2437	1098	1014	1141	70	10	30	422	120	201	100	NA	30
O14974	478	294	242	81	816	51	455	222	294	377	261	30	498	721	1029	489	355	609	459	60	30	40	10	120	80	293	50
O15021	357	372	494	576	1429	509	232	451	519	546	615	537	273	628	487	201	261	578	1037	60	10	362	1250	191	10	1066	641
O15027	5645	3625	1386	2628	6440	3642	6165	4871	4055	6537	5279	4765	2606	3337	2230	2280	944	2607	2005	2482	1439	2002	1796	1729	1596	1904	1235
O15049	6533	7554	7096	5869	13214	8213	7540	8681	8487	9413	6032	9147	7898	12216	12260	7206	7551	10031	453	150	142	772	311	152	101	517	514
O15056	713	346	1064	150	1666	1559	720	1310	1283	904	1190	1364	2050	1088	1438	10297	5290	566	30	250	151	220	60	10	60	419	130
O15063	4576	2751	1621	3222	2700	1826	2478	1673	3078	1224	1211	1530	3434	2529	3147	5096	3605	4658	211	301	190	NA	40	NA	140	644	20
O15075	464	221	402	392	484	452	293	210	223	371	212	363	273	363	423	612	413	331	71	20	211	30	30	NA	40	1516	40
O15160	20	200	913	1419	761	387	730	1153	984	1531	1230	1092	170	160	1063	1127	987	829	2481	70	90	271	101	81	1233	221	734
O15260	12962	4548	5976	17728	6627	4888	4771	4441	7294	19050	6189	11699	4687	6622	6248	10356	3729	9994	1193	4787	1456	391	12202	1576	1300	1241	1579
O15294	3902	2413	1814	2516	1886	4125	2399	1149	2837	2662	2302	3918	2497	2667	3483	2667	2119	2796	163	321	330	222	455	91	351	211	50
O15460	796	948	353	202	387	246	1455	1146	672	907	457	293	1203	1632	1762	1467	1170	223	172	151	160	70	270	261	150	233	NA
O43155	9187	5805	4645	8510	5959	4783	5208	2943	4707	6955	6109	5101	4802	5752	6247	5712	5512	6299	110	273	221	301	345	201	260	402	210
O43166	5522	3556	3077	1278	7648	6784	6931	4046	5403	6277	5559	6941	5101	4709	8400	4249	3520	5943	544	934	193	509	1378	1375	632	728	736
O43303	3792	1664	1124	3700	1643	1280	1309	887	1022	1695	1664	1556	692	152	1558	887	1034	987	830	383	40	40	60	455	20	221	20
O43314	535	355	200	171	170	171	354	242	210	386	304	252	504	336	870	457	322	403	162	60	30	241	333	50	10	161	202
O43379	3568	1200	2252	873	947	1633	356	567	1011	2707	2228	2181	2841	3753	4856	3537	1345	2828	110	141	50	40	3605	1693	3323	395	3942
O43491	281	292	180	350	201	322	60	110	70	503	411	290	71	313	231	411	130	231	40	30	60	70	100	231	30	180	80
O43524	12418	6722	6610	3555	2225	2268	4236	4878	5146	10580	8632	11552	7464	8683	10107	8325	7310	7896	271	80	50	30	482	506	50	270	91
O43822	16794	14478	14966	28512	14708	14455	18328	10475	11620	22880	12558	12943	29641	16493	19741	30968	24197	13308	2120	1609	1218	893	2078	252	1328	2044	20
O43896	2033	3345	1184	1832	930	970	1729	2275	1567	1649	2353	713	5304	1021	479	6599	857	929	150	374	2146	10	171	2464	NA	372	1865
O60282	465	305	262	312	242	211	447	262	344	263	342	254	707	344	730	413	384	441	110	40	71	264	163	131	90	NA	90
O60292	1151	367	571	445	643	372	948	457	764	992	570	699	1343	1224	1433	1141	774	1049	111	90	50	131	325	190	70	100	50
O60307	5241	3134	2764	5981	6535	4390	4256	2786	3019	5312	2861	3711	2932	3532	4758	2937	2934	4026	571	854	481	532	904	660	541	642	493
O60333	13888	1985	14363	11838	10133	7777	1437	383	9429	12545	9126	11709	8460	15127	12560	14247	13231	16638	461	220	160	342	508	180	130	685	90
O60336	1317	930	1173	944	743	1490	645	412	878	1466	1023	762	484	1474	723	678	1042	111	20	181	40	90	NA	30	101	554	583
O60343	3754	1096	1096	131	401	431	1132	341	997	1594	1737	1936	1560	2214	2640	2159	959	70	90	30	NA	NA	20	10	30	10	40
O60346	962	705	605	935	720	1219	896	462	810	949	810	822	778	901	798	586	211	880	50	NA	453	254	980	20	220	70	20
O60573	9779	7977.5	5396.5	13411	11226.5	9072.5	9061.5	5104	7358.5	18911	11533	12940.5	9968.5	10865	14975	9326	8390	9025.5	333	110	141	371.5	155.5	267.5	156	166	96
O60825	9527	8372	6479	1455	2022	2472	3973	2809	4249	7889	7591	8675	14235	14998	13391	16078	9429	6941	201	190	60	242	80	120	150	110	131
O60828	501	514	220	372	180	533	260	431	350	606	524	723	262	261	451	676	441	311	241	110	70	60	30	110	70	60	10
O60884	11900	7756	5535	7507	11118	5674	10343	6183	6690	7175	6055	6132	9663	7144	9424	8791	8660	7635	813	4912	6331	747	12554	1658	7313	10428	9880
O60885	11845.5	9836	7545	8236.5	9132.5	9222	5326	3031.5	8287.5	6333	7568.5	10332.5	7606	7593.5	365.5	8229	9092.5	5501	2293.5	1873.5	626.5	663.5	923.5	146	1465.5	801.5	587
O75037	366	303	323	548	536	325	530	556	506	863	71	481	1353	637	886	892	758	667	111	121	60	50	131	30	50	402	150
O75044	56266	30306	29139	48634	47436	47114	32165	23292	37447	66347	33933	44099	45020	58555	58352	44689	33796	44228	90	536	262	90	517	799	503	30	618
O75064	729	960	817	843	788	658	987	626	604	1018	867	689	609	760	1000	740	393	1016	271	1169	231	1191	322	1383	1329	556	1498
O75122	42279	129840	99382	40134	59791	55492	76312	60315	47628	65202	106214	168199	30587	54695	48695	29033	111934	48702	6564	25447	9305	1217	647	5917	5259	5934	9156
O75140	4514	2064	1356	3449	100	539	2013	1017	498	2767	526	629	2522	742	1512	2695	2339	2261	50	50	30	30	805	141	202	343	170
O75143	1400	500	690	386	1465	1151	254	377	418	397	1069	885	417	955	1031	3848	427	1249	571	2532	2205	3242	3543	1892	1954	261	2187
O75147	765	530	382	790	864	1127	343	453	569	700	626	810	670	534	650	637	332	595	70	20	60	50	120	171	60	20	111
O75167	1331	783	802	607	585	213	833	487	1126	765	559	720	681	626	827	956	790	661	222	110	60	131	433	562	664	757	766
O75175	444	242	161	192	354	323	316	192	405	443	484	213	609	488	658	995	251	640	100	80	60	120	80	30	30	120	10
O75385	1457	761	852	708	1138	2156	935	458	438	1616	837	1112	1060	1027	1394	946	659	1754	120	60	70	40	433	240	240	10	150
O75390	8812.5	5801.5	3943	8315	12539	510.5	8991	3290.5	8034	6762	6375	218.5	19312	8369	16138	13537.5	19266.5	7047.5	282.5	491	374.5	346	436	933.5	152	268.5	400.5
O75420	2716	962	1548	434	1686	2802	1790	874	1918	3788	3399	4367	921	1284	3014	647	714	2207	50	140	301	141	131	50	260	261	51
O75494	6652	4869	4904	11140	5760	6169	5690	7351	6419	8554	4812	5615	5734	7316	6454	6457	4040	6702	1076	2334	80	1349	1180	1022	829	3362	2273
O75592	9142.5	5265.5	5126.5	2941.5	3791.5	2596	3060.5	2182	6094	8791	6117.5	6607.5	7708.5	9471	10249.5	8599.5	7854.5	8410	1663	1196	211.5	903.5	177.5	1065	277	737	90
